sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
1,16,2024-11-18,Tundra,44496.88,0.05,Completed
2,11,2024-11-08,Tacoma,34824.72,,Pending
3,5,2024-11-03,Corolla,20275.08,,Completed
4,20,2024-11-06,Corolla,20068.93,,Completed
5,1,2024-11-26,Tundra,49811.99,0.03,Completed
6,14,2024-11-28,RAV4,34346.2,0.03,Completed
7,12,2024-11-30,RAV4,33073.24,0.03,Completed
8,3,2024-11-05,Camry,25561.86,,Completed
9,9,2024-11-25,RAV4,29690.54,0.03,Pending
10,14,2024-11-09,Camry,27321.71,0.03,Completed
11,12,2024-11-11,Highlander,40044.87,0.02,Completed
12,1,2024-11-23,Tundra,39427.38,0.05,Cancelled
13,13,2024-11-08,Tundra,38598.58,0.02,Completed
14,2,2024-11-20,Tacoma,33043.74,0.02,Cancelled
15,18,2024-11-14,RAV4,28455.43,0.02,Pending
16,16,2024-11-10,Corolla,24909.11,0.03,Completed
17,1,2024-11-18,Camry,26676.29,,Pending
18,8,2024-11-02,RAV4,32751.81,,Completed
19,4,2024-11-26,RAV4,28992.27,,Completed
20,6,2024-11-10,Tacoma,35503.75,0.03,Completed
21,7,2024-11-06,Corolla,21674.58,0.03,Completed
22,14,2024-11-21,RAV4,31273.79,0.05,Pending
23,20,2024-11-23,Tacoma,31705.26,0.05,Pending
24,1,2024-11-03,Corolla,24278.39,,Completed
25,1,2024-11-21,Corolla,20623.99,0.05,Completed
26,13,2024-11-10,RAV4,27702.82,0.02,Completed
27,7,2024-11-01,Tacoma,30218.18,0.03,Cancelled
28,7,2024-11-12,Tundra,42215.27,0.02,Completed
29,2,2024-11-19,RAV4,30624.47,,Completed
30,2,2024-11-20,RAV4,31643.54,,Completed
31,9,2024-11-14,Tundra,37537.14,0.03,Completed
32,2,2024-11-07,RAV4,32250.04,,Completed
33,13,2024-11-20,Tundra,41086.73,0.05,Completed
34,12,2024-11-16,RAV4,29906.67,0.03,Completed
35,17,2024-11-04,RAV4,27682.03,0.05,Cancelled
36,7,2024-11-16,Highlander,37439.27,0.03,Completed
37,7,2024-11-06,Corolla,21938.44,,Completed
38,9,2024-11-16,Corolla,24335.42,,Completed
39,17,2024-11-06,Corolla,22124.97,0.03,Completed
40,10,2024-11-29,Tundra,47028.93,,Completed
41,19,2024-11-25,Highlander,43114.79,,Completed
42,19,2024-11-25,Corolla,24906.83,0.03,Completed
43,18,2024-11-27,RAV4,28881.36,0.03,Pending
44,6,2024-11-07,Tundra,43055.49,0.05,Completed
45,14,2024-11-01,Camry,26362.15,,Completed
46,14,2024-11-05,Tundra,43660.86,0.03,Completed
47,15,2024-11-28,Tundra,48146.7,,Completed
48,19,2024-11-10,Highlander,39778.09,0.02,Completed
49,5,2024-11-17,Tacoma,38639.78,0.02,Completed
50,4,2024-11-29,Tundra,45564.26,0.05,Pending
51,16,2024-11-10,RAV4,29984.94,0.05,Completed
52,4,2024-11-07,Corolla,22260.1,0.03,Pending
53,10,2024-11-13,Tacoma,37559.48,0.02,Completed
54,13,2024-11-23,Highlander,35594.89,0.05,Completed
55,14,2024-11-11,Tacoma,34812.88,,Completed
56,8,2024-11-21,Highlander,39603.9,,Completed
57,5,2024-11-21,Tundra,36071.88,0.05,Completed
58,5,2024-11-10,Corolla,24715.44,,Cancelled
59,3,2024-11-03,RAV4,28362.26,,Completed
60,20,2024-11-09,Tundra,40145.75,0.03,Completed
61,5,2024-11-18,Tundra,45270.46,,Completed
62,13,2024-11-20,RAV4,28641.07,0.03,Completed
63,15,2024-11-13,RAV4,29136.08,0.02,Pending
64,18,2024-11-20,Camry,26159.94,,Completed
65,19,2024-11-19,Corolla,20884.03,0.03,Pending
66,6,2024-11-29,RAV4,29215.55,0.05,Completed
67,19,2024-11-18,Tundra,41138.18,0.05,Completed
68,3,2024-11-14,Highlander,43031.14,0.03,Completed
69,15,2024-11-08,Highlander,42275.25,0.02,Completed
70,11,2024-11-12,Camry,26260.96,0.02,Completed
71,3,2024-11-19,Tacoma,34777.55,0.02,Completed
72,17,2024-11-05,Highlander,43381.39,0.05,Pending
73,5,2024-11-30,Tacoma,33284.96,0.05,Completed
74,15,2024-11-12,Highlander,41785.15,0.05,Completed
75,4,2024-11-09,Highlander,39518.9,0.03,Completed
76,2,2024-11-05,Corolla,21450.56,0.03,Completed
77,13,2024-11-13,Camry,28313.68,0.03,Pending
78,17,2024-11-05,Camry,29492.73,0.02,Pending
79,5,2024-11-22,Tacoma,30223.69,0.05,Completed
80,9,2024-11-21,RAV4,30866.96,0.05,Cancelled
81,20,2024-11-11,Tundra,42758.21,0.05,Completed
