sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status,commission_amount
1,16,2024-11-18,Tundra,44496.88,0.05,Completed,2224.84
2,11,2024-11-08,Tacoma,34824.72,,Pending,0.0
3,5,2024-11-03,Corolla,20275.08,,Completed,0.0
4,20,2024-11-06,Corolla,20068.93,,Completed,0.0
5,1,2024-11-26,Tundra,49811.99,0.03,Completed,1494.36
6,14,2024-11-28,RAV4,34346.2,0.03,Completed,1030.39
7,12,2024-11-30,RAV4,33073.24,0.03,Completed,992.2
8,3,2024-11-05,Camry,25561.86,,Completed,0.0
9,9,2024-11-25,RAV4,29690.54,0.03,Pending,890.72
10,14,2024-11-09,Camry,27321.71,0.03,Completed,819.65
11,12,2024-11-11,Highlander,40044.87,0.02,Completed,800.9
12,1,2024-11-23,Tundra,39427.38,0.05,Cancelled,1971.37
13,13,2024-11-08,Tundra,38598.58,0.02,Completed,771.97
14,2,2024-11-20,Tacoma,33043.74,0.02,Cancelled,660.87
15,18,2024-11-14,RAV4,28455.43,0.02,Pending,569.11
16,16,2024-11-10,Corolla,24909.11,0.03,Completed,747.27
17,1,2024-11-18,Camry,26676.29,,Pending,0.0
18,8,2024-11-02,RAV4,32751.81,,Completed,0.0
19,4,2024-11-26,RAV4,28992.27,,Completed,0.0
20,6,2024-11-10,Tacoma,35503.75,0.03,Completed,1065.11
21,7,2024-11-06,Corolla,21674.58,0.03,Completed,650.24
22,14,2024-11-21,RAV4,31273.79,0.05,Pending,1563.69
23,20,2024-11-23,Tacoma,31705.26,0.05,Pending,1585.26
24,1,2024-11-03,Corolla,24278.39,,Completed,0.0
25,1,2024-11-21,Corolla,20623.99,0.05,Completed,1031.2
26,13,2024-11-10,RAV4,27702.82,0.02,Completed,554.06
27,7,2024-11-01,Tacoma,30218.18,0.03,Cancelled,906.55
28,7,2024-11-12,Tundra,42215.27,0.02,Completed,844.31
29,2,2024-11-19,RAV4,30624.47,,Completed,0.0
30,2,2024-11-20,RAV4,31643.54,,Completed,0.0
31,9,2024-11-14,Tundra,37537.14,0.03,Completed,1126.11
32,2,2024-11-07,RAV4,32250.04,,Completed,0.0
33,13,2024-11-20,Tundra,41086.73,0.05,Completed,2054.34
34,12,2024-11-16,RAV4,29906.67,0.03,Completed,897.2
35,17,2024-11-04,RAV4,27682.03,0.05,Cancelled,1384.1
36,7,2024-11-16,Highlander,37439.27,0.03,Completed,1123.18
37,7,2024-11-06,Corolla,21938.44,,Completed,0.0
38,9,2024-11-16,Corolla,24335.42,,Completed,0.0
39,17,2024-11-06,Corolla,22124.97,0.03,Completed,663.75
40,10,2024-11-29,Tundra,47028.93,,Completed,0.0
41,19,2024-11-25,Highlander,43114.79,,Completed,0.0
42,19,2024-11-25,Corolla,24906.83,0.03,Completed,747.2
43,18,2024-11-27,RAV4,28881.36,0.03,Pending,866.44
44,6,2024-11-07,Tundra,43055.49,0.05,Completed,2152.77
45,14,2024-11-01,Camry,26362.15,,Completed,0.0
46,14,2024-11-05,Tundra,43660.86,0.03,Completed,1309.83
47,15,2024-11-28,Tundra,48146.7,,Completed,0.0
48,19,2024-11-10,Highlander,39778.09,0.02,Completed,795.56
49,5,2024-11-17,Tacoma,38639.78,0.02,Completed,772.8
50,4,2024-11-29,Tundra,45564.26,0.05,Pending,2278.21
51,16,2024-11-10,RAV4,29984.94,0.05,Completed,1499.25
52,4,2024-11-07,Corolla,22260.1,0.03,Pending,667.8
53,10,2024-11-13,Tacoma,37559.48,0.02,Completed,751.19
54,13,2024-11-23,Highlander,35594.89,0.05,Completed,1779.74
